Year,Month,Week_Number_In_Month,Date,Running_Work_Days,Product,ValueFOB,Volume,WorkingDaysDelta,ValueFOB_Daily,Volume_Daily
2023,1,1,1/6/23,5,Crop_Chemicals,91618.818,5992.829,5,18323.7636,1198.5658
2023,1,2,1/13/23,10,Wheat,32220.312,91343.789,5,6444.0624,18268.7578
2023,1,2,1/13/23,10,Fertilizers,344276.184,714533.578,5,68855.2368,142906.7156
2023,1,2,1/13/23,10,Crop_Chemicals,85967.335,6224.306,5,17193.467,1244.8612
2023,1,3,1/20/23,15,Wheat,34935.751,98607.837,5,6987.1502,19721.5674
2023,1,3,1/20/23,15,Fertilizers,280105.791,609351.699,5,56021.1582,121870.3398
2023,1,3,1/20/23,15,Crop_Chemicals,56146.9,4791.538,5,11229.38,958.3076
2023,1,5,1/31/23,22,Wheat,42782.895,116562.21,7,6111.842143,16651.74429
2023,1,5,1/31/23,22,Fertilizers,340994.368,757269.076,7,48713.48114,108181.2966
2023,1,5,1/31/23,22,Crop_Chemicals,87605.85,7461.993,7,12515.12143,1065.999
2023,2,2,2/10/23,8,Wheat,31801.583,87812.59,8,3975.197875,10976.57375
2023,2,2,2/10/23,8,Fertilizers,442661.467,1034299.198,8,55332.68338,129287.3998
2023,2,2,2/10/23,8,Crop_Chemicals,82155.388,7006.328,8,10269.4235,875.791
2023,2,3,2/17/23,13,Wheat,53310.115,148872.058,5,10662.023,29774.4116
2023,2,3,2/17/23,13,Fertilizers,273748.326,588931.864,5,54749.6652,117786.3728
2023,2,3,2/17/23,13,Crop_Chemicals,51615.982,4709.613,5,10323.1964,941.9226
2023,2,5,2/28/23,18,Wheat,20091.267,54928.145,5,4018.2534,10985.629
2023,2,5,2/28/23,18,Fertilizers,218514.214,480823.629,5,43702.8428,96164.7258
2023,2,5,2/28/23,18,Crop_Chemicals,61194.485,5286.089,5,12238.897,1057.2178
2023,3,2,3/10/23,8,Wheat,63581.426,190210.305,8,7947.67825,23776.28813
2023,3,2,3/10/23,8,Fertilizers,354248.761,804293.437,8,44281.09513,100536.6796
2023,3,2,3/10/23,8,Crop_Chemicals,99894.622,6911.936,8,12486.82775,863.992
2023,3,3,3/17/23,13,Wheat,18087.933,54803.23,5,3617.5866,10960.646
2023,3,3,3/17/23,13,Fertilizers,343307.638,769758.794,5,68661.5276,153951.7588
2023,3,3,3/17/23,13,Crop_Chemicals,51630.005,5460.662,5,10326.001,1092.1324
2023,3,4,3/24/23,18,Wheat,32210.431,91053.035,5,6442.0862,18210.607
2023,3,4,3/24/23,18,Fertilizers,302693.605,694403.467,5,60538.721,138880.6934
2023,3,4,3/24/23,18,Crop_Chemicals,39143.741,3640.683,5,7828.7482,728.1366
2023,3,5,3/31/23,23,Wheat,31489.461,92326.27,5,6297.8922,18465.254
2023,3,5,3/31/23,23,Fertilizers,293825.238,610968.472,5,58765.0476,122193.6944
2023,3,5,3/31/23,23,Crop_Chemicals,58547.396,4294.494,5,11709.4792,858.8988
2023,4,1,4/7/23,4,Wheat,25398.748,74499.995,4,6349.687,18624.99875
2023,4,1,4/7/23,4,Fertilizers,283781.694,655618.155,4,70945.4235,163904.5388
2023,4,1,4/7/23,4,Crop_Chemicals,38631.415,3277.196,4,9657.85375,819.299
2023,4,2,4/14/23,9,Wheat,22990.135,68934.706,5,4598.027,13786.9412
2023,4,2,4/14/23,9,Fertilizers,323710.984,735833.57,5,64742.1968,147166.714
2023,4,2,4/14/23,9,Crop_Chemicals,72748.425,6255.639,5,14549.685,1251.1278
2023,4,3,4/21/23,13,Wheat,24251.025,69375.214,4,6062.75625,17343.8035
2023,4,3,4/21/23,13,Fertilizers,295450.073,692298.375,4,73862.51825,173074.5937
2023,4,3,4/21/23,13,Crop_Chemicals,51761.776,3996.887,4,12940.444,999.22175
